McD_Pc,McD_Count,IRSAD_Pc_Decile,IRSAD_Pc_Prcntl,Pop_Pc,Peo_per_McD,1000_per_McD,McD_LGA
6101,1,8,76,16551,16551,16.6,Victoria Park
3140,1,7,62,16531,16531,16.5,Yarra Ranges
2221,1,9,89,16481,16481,16.5,Sutherland Shire
3840,1,1,5,16476,16476,16.5,Latrobe
3220,1,9,84,16353,16353,16.4,Greater Geelong
3356,1,1,7,16321,16321,16.3,Golden Plains
4151,1,10,92,16282,16282,16.3,Brisbane
7320,1,1,8,16238,16238,16.2,Burnie
5086,1,5,43,16141,16141,16.1,Walkerville
2134,1,8,74,16033,16033,16.0,Canada Bay
3820,1,5,47,15952,15952,16.0,Baw Baw
3564,1,4,32,15944,15944,15.9,Murray
2095,1,10,99,15866,15866,15.9,Warringah
2212,1,7,62,15847,15847,15.8,Bankstown
7248,1,1,4,15776,15776,15.8,Launceston
2790,1,2,13,15767,15767,15.8,Oberon
3042,1,7,69,15766,15766,15.8,Moreland
2256,1,4,32,15598,15598,15.6,Gosford
2575,1,6,60,15476,15476,15.5,Wollondilly
2577,1,7,63,15414,15414,15.4,Wingecarribee
3103,1,10,94,15343,15343,15.3,Whitehorse
5540,1,1,5,15343,15343,15.3,Port Pirie City and Dists
5211,1,3,25,15276,15276,15.3,Yankalilla
6023,1,10,94,15268,15268,15.3,Stirling
2193,1,8,78,15256,15256,15.3,Marrickville
3975,1,8,76,15248,15248,15.2,Greater Dandenong
2470,1,1,6,15225,15225,15.2,Richmond Valley
3912,1,6,60,15157,15157,15.2,Mornington Peninsula
6147,1,5,44,15138,15138,15.1,Gosnells
2641,1,1,7,15070,15070,15.1,Greater Hume Shire
